Title;Artist;Genre;Year;Bpm;Energy;Danceability;Db;Liveness;Valence;Duration;Acousticness;Speechiness;Popularity
Only Love Can Hurt Like This;Paloma Faith;Other;2014;91;89;57;-5;33;30;233;10;8;85
Paradise;Coldplay;Other;2011;140;59;45;-7;8;21;279;5;3;85
Passionfruit;Drake;Hip hop/Rap/R&b;2017;112;46;81;-11;11;36;299;26;4;85
Payphone;Maroon 5;Pop;2012;110;75;74;-5;29;55;231;2;4;85
Promiscuous;Nelly Furtado;Latin/Reggaeton;2006;114;97;81;-6;15;87;242;6;5;85
Redbone;Childish Gambino;Hip hop/Rap/R&b;2016;160;35;75;-11;12;60;327;17;10;85
Riptide;Vance Joy;Pop;2014;102;73;48;-7;15;51;204;43;4;85
Shake It Off;Taylor Swift;Pop;2014;160;80;65;-5;33;94;219;6;17;85
Shut Up and Dance;WALK THE MOON;Pop;2014;128;87;58;-4;26;62;199;1;6;85
SICKO MODE;Travis Scott;Hip hop/Rap/R&b;2018;155;73;83;-4;12;45;313;1;22;85
Stan;Eminem;Hip hop/Rap/R&b;2000;80;77;78;-4;52;51;404;4;24;85
Stay With Me;Sam Smith;Pop;2014;84;42;42;-6;11;18;173;59;4;85
Take Me To Church;Hozier;Other;2014;129;66;57;-5;12;44;242;63;5;85
Thinking out Loud;Ed Sheeran;Pop;2014;79;45;78;-6;18;59;282;47;3;85
Umbrella;Rihanna;Pop;2008;174;83;58;-5;4;57;276;1;13;85
We Found Love;Rihanna;Pop;2011;128;77;73;-4;11;60;215;3;4;85
when the party's over;Billie Eilish;Pop;2019;83;11;37;-14;9;20;196;98;10;85
Yonaguni;Bad Bunny;Latin/Reggaeton;2021;180;65;64;-5;14;44;207;28;12;85
abcdefu;GAYLE;Pop;2021;122;54;70;-6;37;42;169;30;5;84
bad guy;Billie Eilish;Pop;2019;135;43;70;-11;10;56;194;33;38;84
Bad Romance;Lady Gaga;Pop;2009;119;92;70;-4;8;71;295;0;4;84
Bored;Billie Eilish;Pop;2017;120;32;61;-13;8;11;181;90;5;84
Bring Me To Life;Evanescence;Rock/Metal;2003;95;94;33;-3;24;30;236;1;7;84
Can't Feel My Face;The Weeknd;Hip hop/Rap/R&b;2015;108;77;71;-6;11;58;214;11;4;84
Delicate;Taylor Swift;Pop;2017;95;40;75;-10;9;5;232;22;7;84
Doin' Time;Lana Del Rey;Pop;2019;145;56;64;-11;9;52;202;40;4;84
Don't;Bryson Tiller;Hip hop/Rap/R&b;2015;97;36;77;-6;10;19;198;22;20;84
EARFQUAKE;Tyler, The Creator;Hip hop/Rap/R&b;2019;80;50;55;-9;80;41;190;23;7;84
Easy On Me;Adele;Other;2021;142;37;60;-8;13;13;225;58;3;84
Empire State Of Mind;JAY-Z;Hip hop/Rap/R&b;2009;174;96;49;-2;46;81;277;3;39;84
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);Pitbull;Pop;2011;129;94;67;-3;30;53;252;19;16;84
Godzilla (feat. Juice WRLD);Eminem;Hip hop/Rap/R&b;2020;166;75;81;-5;29;83;211;14;34;84
22;Taylor Swift;Pop;2012;104;73;66;-7;5;67;232;0;4;72
Happier;Marshmello;Other;2018;100;79;69;-3;17;67;214;19;5;84
Hey, Soul Sister;Train;Pop;2010;97;89;67;-4;8;80;217;19;4;84
HIGHEST IN THE ROOM;Travis Scott;Hip hop/Rap/R&b;2019;76;43;60;-9;21;6;176;5;3;84
I WANNA BE YOUR SLAVE;Måneskin;Rock/Metal;2021;133;61;75;-4;18;96;173;0;4;84
In Da Club;50 Cent;Hip hop/Rap/R&b;2003;90;71;90;-3;7;78;193;26;37;84
In Ha Mood;Ice Spice;Other;2023;141;74;77;-7;23;53;129;70;34;84
Infinity;Jaymes Young;Other;2017;122;67;67;-7;30;49;238;15;4;84
Jocelyn Flores;XXXTENTACION;Hip hop/Rap/R&b;2017;134;39;87;-9;30;44;119;47;24;84
Leave Before You Love Me (with Jonas Brothers);Marshmello;Other;2021;120;74;72;-5;12;64;155;0;4;84
Levitating;Dua Lipa;Pop;2020;103;88;70;-2;21;91;204;6;8;84
Love The Way You Lie;Eminem;Hip hop/Rap/R&b;2010;87;93;75;-5;52;64;263;24;23;84
Maria Maria (feat. The Product G&B);Santana;Rock/Metal;1999;98;60;78;-6;3;68;262;4;13;84
Moonlight;XXXTENTACION;Hip hop/Rap/R&b;2018;128;54;92;-6;10;71;135;56;8;84
Needed Me;Rihanna;Pop;2016;111;31;67;-8;8;30;192;11;24;84
Only Girl (In The World);Rihanna;Pop;2010;126;71;79;-4;6;64;235;11;4;84
Party;Bad Bunny;Latin/Reggaeton;2022;97;80;83;-5;24;47;228;2;9;84
Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;Pop;2021;90;70;68;-6;42;46;198;32;12;84
Pepas;Farruko;Latin/Reggaeton;2021;130;77;76;-4;13;44;287;1;3;84
positions;Ariana Grande;Pop;2020;144;80;74;-5;9;68;172;47;9;84
PROVENZA;KAROL G;Latin/Reggaeton;2022;111;52;87;-8;11;53;210;66;5;84
Pumped Up Kicks;Foster The People;Other;2011;128;71;73;-6;10;97;240;14;3;84
Ric Flair Drip (with Metro Boomin);Offset;Hip hop/Rap/R&b;2017;100;43;88;-8;11;33;173;15;21;84
Ride;Twenty One Pilots;Rock/Metal;2015;75;71;65;-5;11;57;215;1;4;84
Safe And Sound;Capital Cities;Other;2013;118;82;66;-5;10;77;193;0;3;84
See You Again (feat. Charlie Puth);Wiz Khalifa;Hip hop/Rap/R&b;2015;80;48;69;-8;6;28;230;37;8;84
Story of My Life;One Direction;Other;2013;121;66;60;-6;12;29;245;23;5;84
Summer;Calvin Harris;Pop;2014;128;86;60;-4;14;74;223;2;3;84
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;Hip hop/Rap/R&b;2019;90;52;76;-4;7;93;158;53;6;84
Tarot;Bad Bunny;Latin/Reggaeton;2022;114;68;80;-4;66;42;238;2;4;84
THATS WHAT I WANT;Lil Nas X;Hip hop/Rap/R&b;2021;88;85;74;-5;5;55;144;1;22;84
The Motto;Tiësto;Other;2021;118;76;75;-5;9;46;165;3;4;84
This Is What You Came For;Calvin Harris;Pop;2016;124;93;63;-3;15;47;222;20;3;84
Toxic;Britney Spears;Pop;2003;143;84;77;-4;24;92;199;2;11;84
Unforgettable;French Montana;Hip hop/Rap/R&b;2017;98;77;73;-5;10;73;234;3;12;84
Uptown Funk (feat. Bruno Mars);Mark Ronson;Pop;2015;115;61;86;-7;3;93;270;1;8;84
Waiting For Love;Avicii;EDM;2015;128;74;58;-4;20;61;231;31;5;84
We Don't Talk Anymore (feat. Selena Gomez);Charlie Puth;Pop;2016;100;56;73;-8;18;35;218;62;13;84
we fell in love in october;girl in red;Other;2018;130;37;57;-13;16;24;184;11;3;84
Yeah! (feat. Lil Jon & Ludacris);Usher;Hip hop/Rap/R&b;2004;105;79;89;-5;4;58;250;2;11;84
7 Years;Lukas Graham;Pop;2016;120;47;77;-6;39;34;237;29;5;83
a lot;21 Savage;Hip hop/Rap/R&b;2018;146;64;84;-8;34;27;289;4;9;83
All The Small Things;blink-182;Rock/Metal;1999;149;90;43;-5;61;68;167;1;5;83
Baby;Justin Bieber;Pop;2010;65;86;73;-5;11;54;214;4;14;83
Better Now;Post Malone;Hip hop/Rap/R&b;2018;145;58;68;-6;14;34;231;33;4;83
Bruises;Lewis Capaldi;Pop;2019;111;31;74;-8;19;36;220;95;7;83
Cake By The Ocean;DNCE;Pop;2016;119;75;77;-5;4;90;219;15;5;83
Call Me Maybe;Carly Rae Jepsen;Pop;2012;120;58;78;-7;11;66;193;1;4;83
Can't Hold Us (feat. Ray Dalton);Macklemore & Ryan Lewis;Hip hop/Rap/R&b;2012;146;92;64;-4;9;85;258;3;8;83
Can't Stop;Red Hot Chili Peppers;Rock/Metal;2002;91;94;62;-3;17;88;269;2;5;83
Clocks;Coldplay;Other;2002;131;75;58;-7;18;26;308;60;3;83
Congratulations;Post Malone;Hip hop/Rap/R&b;2016;123;80;63;-4;25;49;220;22;4;83
death bed (coffee for your head);Powfu;Other;2020;144;43;73;-9;70;35;173;73;14;83
Desesperados;Rauw Alejandro;Pop;2021;90;69;87;-3;9;51;225;36;8;83
Don't Start Now;Dua Lipa;Pop;2020;124;79;79;-5;10;68;183;1;8;83
Don't You Worry Child - Radio Edit;Swedish House Mafia;EDM;2012;129;84;61;-3;12;44;213;11;5;83
Dynamite;BTS;Pop;2020;114;77;75;-4;9;74;199;1;10;83
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons;Rock/Metal;2021;77;78;73;-4;43;56;173;24;27;83
Feel So Close - Radio Edit;Calvin Harris;Pop;2012;128;92;71;-3;20;92;206;0;3;83
First Class;Jack Harlow;Hip hop/Rap/R&b;2022;107;58;90;-6;11;33;174;11;11;83
Gasolina;Daddy Yankee;Hip hop/Rap/R&b;2004;96;80;85;-7;8;74;193;32;6;83
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers];Daft Punk;EDM;2013;116;81;79;-9;10;86;248;4;4;83
Hate It Or Love It;The Game;Hip hop/Rap/R&b;2005;100;79;80;-5;12;44;206;14;21;83
Heartbreak Anniversary;Giveon;Hip hop/Rap/R&b;2020;89;47;45;-9;30;54;198;52;8;83
Hey Ya!;Outkast;Hip hop/Rap/R&b;2003;80;97;73;-2;17;97;235;10;7;83
I Gotta Feeling;Black Eyed Peas;Pop;2009;128;77;74;-6;51;61;289;9;3;83
I Like Me Better;Lauv;Pop;2018;92;51;75;-8;10;42;197;53;26;83
I Want It That Way;Backstreet Boys;Other;1999;99;69;69;-6;15;48;213;26;3;83
INDUSTRY BABY (feat. Jack Harlow);Lil Nas X;Hip hop/Rap/R&b;2021;150;70;74;-7;5;89;212;2;6;83
Just Give Me a Reason (feat. Nate Ruess);P!nk;Pop;2012;95;55;78;-7;13;44;243;35;5;83
Leave The Door Open;Bruno Mars;Pop;2021;148;62;59;-8;9;72;242;18;3;83
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);Tainy;Pop;2021;170;70;64;-6;9;14;207;9;8;83
